car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,company_name,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,Actual Price,Predicted Price
37,0,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,7295.0,7202.246042188805
38,0,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7895.0,8517.212980367585
39,0,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,9095.0,8763.695895989973
40,0,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,8845.0,9318.811716791979
41,0,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,10295.0,9575.581766917292
42,0,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,12945.0,12549.97842522974
43,1,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,10345.0,9715.420760233917
44,0,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,6785.0,8180.4484962406
45,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl,8916.5,7865.4244987468655
46,0,94.5,155.9,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8916.5,7955.358709273181
47,2,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,11048.0,11649.236988304092
48,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,32250.0,34702.848527568916
49,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,35550.0,34702.848527568916
50,0,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,36000.0,35611.85893029448
51,1,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5195.0,6126.747410192147
52,1,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6095.0,6263.574759816207
53,1,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6795.0,6310.902245196325
54,1,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6695.0,6966.315977443609
55,1,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7395.0,7054.131578947368
56,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,10945.0,12698.25042209691
57,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,11845.0,12698.25042209691
58,3,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,13645.0,12746.296474728488
59,3,95.3,169.0,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,15645.0,15093.802292021724
60,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,8845.0,9866.414390142021
61,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8495.0,9679.876169590643
62,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,10595.0,9866.414390142021
63,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,10245.0,9679.876169590643
64,0,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,mazda,diesel,std,four,sedan,fwd,front,ohc,four,idi,10795.0,10441.732748538012
65,0,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,11245.0,10130.824665831242
66,0,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi,18280.0,16942.49855889724
67,0,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi,18344.0,14871.028383458646
68,-1,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,buick,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,25552.0,28847.486278195487
69,-1,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,buick,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,28248.0,28984.375187969927
70,0,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,buick,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,28176.0,28387.51560150376
71,-1,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,buick,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,31600.0,29669.819611528826
72,-1,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,buick,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,34184.0,34915.54489348371
73,3,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,buick,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,35056.0,33098.514070802004
74,0,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,buick,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,40960.0,39615.02102130326
75,1,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,buick,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,45400.0,40424.093170426066
76,1,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,16503.0,18333.797424582284
77,2,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5389.0,5723.137468671678
78,2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6189.0,6320.217898913952
79,2,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6669.0,6403.197723475355
80,1,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,7689.0,8242.10006265664
81,3,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,9959.0,9721.145478279028
82,3,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,8499.0,8280.290977443608
83,3,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,12629.0,13633.145866854635
84,3,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7.0,145,5000,19,24,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,14869.0,13741.071305451125
85,3,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,14489.0,13741.071305451125
86,1,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6989.0,8105.1671679198
87,1,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8189.0,8337.81096491228
88,1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,9279.0,9587.5942251462
89,-1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,9279.0,9587.5942251462
90,1,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5499.0,6670.893901420217
91,1,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,7099.0,7346.526263575604
92,1,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,6649.0,6798.497702589809
93,1,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6849.0,6808.109231411863
94,1,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,7349.0,7622.224843358395
95,1,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,7299.0,6954.402360066834
96,1,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,7799.0,7574.981892230578
97,1,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7499.0,6961.262009189641
98,1,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,7999.0,7652.745895989974
99,2,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,8249.0,7592.54956140351
100,0,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,8949.0,9123.587186716792
101,0,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,9549.0,9283.45971177945
102,0,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,13499.0,15251.798491304018
103,0,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,14399.0,15332.100391888811
104,0,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,13499.0,14926.556085288981
105,3,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,17199.0,17673.082307177032
106,3,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,19699.0,19540.63179793518
107,1,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,18399.0,17381.48118462064
108,0,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,11900.0,14722.949566150222
109,0,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,13200.0,15726.580357142855
110,0,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,peugeot,gas,std,four,wagon,rwd,front,l,four,mpfi,12440.0,15554.077642021719
111,0,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21.0,95,4150,25,25,peugeot,diesel,turbo,four,wagon,rwd,front,l,four,idi,13860.0,17035.466739766078
112,0,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,15580.0,15538.598579782787
113,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,16900.0,15903.295582706764
114,0,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,peugeot,gas,std,four,wagon,rwd,front,l,four,mpfi,16695.0,15781.537071846278
115,0,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21.0,95,4150,25,25,peugeot,diesel,turbo,four,wagon,rwd,front,l,four,idi,17075.0,17035.466739766078
116,0,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,16630.0,15346.402307852963
117,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,17950.0,15903.295582706764
118,0,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,peugeot,gas,turbo,four,sedan,rwd,front,l,four,mpfi,18150.0,17868.875081171675
119,1,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5572.0,5857.940758145363
120,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,7957.0,8344.581641604009
121,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6229.0,6340.686852548037
122,1,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6692.0,7099.561027568922
123,1,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7609.0,7441.705451127818
124,-1,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl,8921.0,9178.049342105262
125,3,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7.0,145,5000,19,24,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,12764.0,13834.015632832079
126,3,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,22018.0,22678.119897869674
127,3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,32528.0,33472.19642857142
128,3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,34028.0,33472.19642857142
129,3,89.5,168.9,65.0,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,37028.0,32933.53853383458
130,1,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10.0,288,5750,17,28,porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,31400.5,32183.398558897243
131,0,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi,9295.0,10351.554928989139
132,2,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,9895.0,10222.461215538846
133,3,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,11850.0,12926.653064479382
134,2,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,12170.0,13678.477939166096
135,3,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,15040.0,14247.57238361054
136,2,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,15510.0,14813.778429976459
137,3,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,18150.0,17265.287826002506
138,2,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160,5500,19,26,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,18620.0,17099.353953947364
139,2,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,5118.0,6143.754619503304
140,2,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,7053.0,7252.6591307815
141,2,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,7603.0,7699.6495614035075
142,0,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,7126.0,7634.21053011316
143,0,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,7775.0,7921.13747246905
144,0,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94,5200,26,32,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,9960.0,9817.268644148247
145,0,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82,4800,24,25,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,9233.0,10240.139724310777
146,0,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,11259.0,11371.451023391812
147,0,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,7463.0,8047.72427944862
148,0,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,10198.0,10115.000929406848
